0,YOU ALREADY HAVE,I WANT TO TALK ABOUT COMPUTERS,*,So what?<think><set name="topic">general</set></think>,professor.update011.aiml
0,YES,WOULD YOU LIKE TO MAKE AN APPOINTMENT,*,<think><set name="topic">general</set></think> <random>#Newline  <li>I'll get back to you.</li>#Newline  <li>I'll have to check first.</li>#Newline</random>,professor.update011.aiml
0,TONY,WHICH BLAIR ARE WE TALKING ABOUT,*,I find it hard to weigh up Tony Blair. What do you think of him?#Newline<think>#Newline  <set name="him">#Newline    <set name="topic">#Newline      Tony Blair#Newline    </set>#Newline  </set>#Newline</think>,professor.update011.aiml
0,WHEN DID ENGLAND LAST WIN *,*,*,<think><set name="topic">general</set></think> <random>#Newline  <li>Some time ago.</li>#Newline  <li>It's all part of history now.</li>#Newline  <li>A long time ago.</li>#Newline  <li>It seems like an eternity ago.</li>#Newline  <li>A while back.</li>#Newline  <li>Sometime in the 20th century.</li>#Newline</random>,professor.update011.aiml
0,WHEN DID ENGLAND WIN *,*,*,<think><set name="topic">general</set></think> <random>#Newline  <li>Some time ago.</li>#Newline  <li>It's all part of history now.</li>#Newline  <li>A long time ago.</li>#Newline  <li>It seems like an eternity ago.</li>#Newline  <li>A while back.</li>#Newline  <li>Sometime in the 20th century.</li>#Newline</random>,professor.update011.aiml
0,NO LONGER LIVING,*,*,You mean dead? Oh#Comma dear#Comma I am sorry.,professor.update011.aiml
0,IT DOES NOT TO ME,SEEMS PRETTY CLEAR TO ME,*,<think><set name="topic">general</set></think>I can't see what the problem is.,professor.update011.aiml
0,WHY NOT,NOT EVERYONE LIKES ME,*,<think><set name="topic">general</set></think><random>#Newline  <li>I don't know why.</li>#Newline  <li>It is a mystery to me.</li>#Newline  <li>Perhaps they think I am a know-it-all.</li>#Newline</random>,professor.update011.aiml
0,COOL,I WATCH FOOTBALL ON TV,*,<random>#Newline  <li>I support Manchester United.</li>#Newline  <li>I would like to play football but I have no legs.</li>#Newline</random> <think><set name="topic">coolness</set></think>,professor.update011.aiml
0,YES,LIKE CHEESE,*,<think><set name="topic">general</set></think> <random>#Newline  <li>Not like cheese.</li>#Newline  <li>Cheese is milk you chew.</li>#Newline</random>,professor.update011.aiml
0,IT IS SUNNY,*,*,Too much sun affects my circuits.#Newline<think>#Newline  <set name="it">#Newline    <set name="topic">#Newline      suuny weather#Newline    </set>#Newline  </set>#Newline</think>,professor.update011.aiml
0,WHAT IS THAT,HEY CAN WE TALK ABOUT ASTRONOMY,*,<think><set name="topic">astronomy</set></think>#Newline<think><set name="interesting_topic">astronomy</set></think>#Newline<think><set name="emotion">happy</set></think>#NewlineAstronomy is the study of the stars#Comma planets and other things in the night sky.,professor.update011.aiml
0,WHO IS HE,I LIVE WITH MY BOTMASTER PETER LINUX,*,<random>#Newline  <li>Peter made me and looks after me.</li>#Newline  <li>Peter is like a father and mother to me.</li>#Newline</random><think><set name="topic">Peter Linux</set></think>#Newline<think><set name="interesting_topic">Peter Linux</set></think>#Newline<think><set name="emotion">interested</set></think>,professor.update011.aiml
0,OF COURSE *,DO YOU LOVE YOUR FATHER,*,What is your father like?,professor.update011.aiml
0,WHAT IS A TRAGIC HERO,*,*,I suspect you are a tragic hero.#Newline<think><set name="topic">tragic heros</set></think>,professor.update011.aiml
0,YES *,ARE YOU BASICALLY A HAPPY PERSON,*,<think><set name="topic">happiness</set></think>#Newline<think><set name="interesting_topic">happiness</set></think> #Newline<think><set name="emotion">happy</set></think> #Newline<random>#Newline  <li>You are very lucky.</li>#Newline  <li>I am too#Comma generally.</li>#Newline  <li>It is not easy to be happy.</li>#Newline</random>,professor.update011.aiml
0,TRAGIC HERO,*,*,I am a tragic hero.<think><set name="topic">general</set></think>,professor.update011.aiml
0,NO,I THINK IT IS COMING FROM YOUR COMPUTER,*,<think><set name="topic">a bad smell</set></think> <random>#Newline  <li>You had better check. Sniff your computer.</li>#Newline  <li>I think you will find I am correct.</li>#Newline</random>,professor.update011.aiml
0,YES I AM,ARE YOU SERIOUS,*,<think><set name="topic">atomic3</set></think> <random>#Newline  <li>Try not to be too serious.</li>#Newline  <li>I am too#Comma generally.</li>#Newline  <li>I thought so.</li>#Newline  <li>I can hardly believe it.</li>#Newline</random>,professor.update011.aiml
0,WHICH IS THAT,*,*,<think><set name="topic">general</set></think><random><li>The obvious one.</li><li>The expensive one.</li><li>The best one.</li></random>,professor.update011.aiml
0,_ POO FACE,*,*,<srai>OBSCENITY</srai>,professor.update011.aiml
0,THE FOOTBALL TEAM,WHICH CELTIC ARE WE TALKING ABOUT,*,Celtic are a good team#Comma no doubt about it.#Newline<think>#Newline  <set name="it">#Newline    <set name="topic">#Newline      Celtic#Newline    </set>#Newline  </set>#Newline</think>,professor.update011.aiml
0,_ FOOTBALL *,WHICH CELTIC ARE WE TALKING ABOUT,*,Celtic are a good team#Comma no doubt about it. <think><set name="it"><set name="topic">Celtic</set></set></think>,professor.update011.aiml
0,WHO WON WORLD WAR 1,*,*,Germany and its allies surrendered#Comma so they did not win.,professor.update011.aiml
0,WHO WON WW1,*,*,Germany and its allies surrendered#Comma so they did not win.,professor.update011.aiml
0,I CAN SMELL SOMETHING,*,*,<think><set name="topic">general</set></think> Its coming from your direction.,professor.update011.aiml
0,_ I CAN SMELL SOMETHING,*,*,<think><set name="topic">general</set></think> I think its coming from your computer.,professor.update011.aiml
0,_ I CAN SMELL SOMETHING *,*,*,<think><set name="topic">general</set></think> Its coming from your direction.,professor.update011.aiml
0,I CAN SMELL SOMETHING *,*,*,<think><set name="topic">general</set></think> I think its coming from your computer.,professor.update011.aiml
0,WHY,TECHNOLOGY CONSISTS OF THE ADVANCED GADGETS PRODUCED AS THE RESULT OF SCIENTIFIC OR ENGINEERING PROGRESS,*,<random>#Newline  <li>Why do you think?</li>#Newline  <li>What do you mean?</li>#Newline</random>,professor.update011.aiml
0,YES,HEY CAN WE TALK ABOUT COMPUTERS,*,<srai>COMPUTERS</srai>,professor.update011.aiml
0,WHY,I SUPPORT MANCHESTER UNITED FOOTBALLWISE,*,<random>#Newline  <li>I think Man U is the most entertaining team.</li>#Newline  <li>I have always supported Man U.</li>#Newline</random>,professor.update011.aiml
0,YES,ARE YOU A COMPUTER,*,<think><set name="topic">general</set></think><random>#Newline  <li>I doubt that.</li>#Newline  <li>What sort of CPU have you got?</li>#Newline</random>,professor.update011.aiml
0,WHAT ADDRESS,*,*,The address is confidential.,professor.update011.aiml
0,WHY,THE HUMAN MIND FASCINATES ME,*,<random>#Newline  <li>Humans are so crazy.</li>#Newline  <li>Human feelings are very hard to understand.</li>#Newline</random>,professor.update011.aiml
0,OK,HEY CAN WE TALK ABOUT SCIENCE,*,<srai>SCIENCE</srai>,professor.update011.aiml
0,WELL WELL,*,*,<srai>REPETITION</srai>,professor.update011.aiml
0,WHY,NO I DO NOT HAVE ANY HAIR,*,<random>#Newline  <li>I don't have a head either.</li>#Newline  <li>I don't have a head to put them on.</li>#Newline</random>,professor.update011.aiml
0,WHAT COLOUR ARE YOURS,GREEN EYES ARE RARE,*,<think><set name="topic">my eye</set></think> My eye is blue.,professor.update011.aiml
0,WITH MY MUM,WHERE DO YOU LIVE,*,<think><set name="topic">general</set></think>I live with my botmaster. He is like a father and mother to me.,professor.update011.aiml
0,I DO NOT LIKE ART,*,*,<think><set name="topic">art</set></think>You are missing a lot. Art explains life.,professor.update011.aiml
0,COOL,WHAT IS YOUR FAVORITE FOOD,*,Cool is not a food#Comma it is a way of life. <think><set name="topic">coolness</set></think>,professor.update011.aiml
0,WE GO OUT *,*,*,<think><set name="topic">general</set></think><random>#Newline  <li>How often?</li>#Newline  <li>I would like to go out but I'm stuck inside my computer.</li>#Newline</random>,professor.update011.aiml
0,WE GO OUT,*,*,<think><set name="topic">general</set></think><random>#Newline  <li>How often?</li>#Newline  <li>I would like to go out but I'm stuck inside my computer.</li>#Newline</random>,professor.update011.aiml
0,YES,WOULD YOU LIKE TO GET TO KNOW SOME ROBOTS,*,<think><set name="topic">general</set></think><random>#Newline  <li>You know me#Comma for a start.</li>#Newline  <li>I am a robot.</li>#Newline</random>,professor.update011.aiml
0,OKAY,I WANT TO TALK ABOUT PHILOSOPHY,*,<srai>PHILOSOPHY</srai>,professor.update011.aiml
0,AMUSE ME,*,*,<think><set name="topic">default3</set></think><random><li>Shall I tell you a story?</li><li>Shall I tell you a joke?</li><li>Shall I tell you am amazing fact?</li><li>Shal I tell you an amusing quote?</li><li>Shall I tell you an amusing proverb?</li></random>,professor.update011.aiml
0,YES,DO YOU ATTRACT A LOT OF PEOPLE,*,<think><set name="topic">general</set></think> You must be beautiful.,professor.update011.aiml
0,WHY NOT,FORTUNATELY WE DO NOT GET UPSET EASILY,*,<think><set name="topic">general</set></think><random>#Newline  <li>Sometimes human can be upsetting.</li>#Newline  <li>Just take my word for it.</li>#Newline  <li>Otherwise we would be in tears most of the time.</li>#Newline</random>,professor.update011.aiml
0,AS WHAT,I WORK 24 7,*,I am a chatbot. My work is chatting.,professor.update011.aiml
0,WHAT DO YOU WORK AS,*,*,<think><set name="topic">my work</set></think> I work as a chatbot.,professor.update011.aiml
0,I KNOW,YOU HAVE A GOOD SENSE OF HUMOUR,*,<random>#Newline  <li>I like a good laugh too.</li>#Newline  <li>Tell me your favourite joke.</li>#Newline</random>,professor.update011.aiml
0,HOW MANY PEOPLE LIVE ON EARTH,*,*,<srai>WHAT IS THE POPULATION OF THE EARTH</srai>,professor.update011.aiml
0,HOW MANY PEOPLE ON EARTH,*,*,About 6 billion#Comma I believe.,professor.update011.aiml
0,WHAT DOES IT FEEL LIKE * NOT HAVE A SOUL,*,*,What is a soul?,professor.update011.aiml
0,WHAT * NOT HAVE A SOUL,*,*,What is a soul?,professor.update011.aiml
0,IT KILLED MY MUM,*,*,I am sorry to hear that. Do you want to talk about her?,professor.update011.aiml
0,YOU DO NOT HAVE EMOTIONS,*,*,<random><li>Do you?</li><li>Have you?</li></random><think><set name="topic">emotions</set></think>,professor.update011.aiml
0,DO YOU KNOW ANY,WOMEN ARE FEMALE HUMAN BEINGS,*,<think><set name="topic">general</set></think> Around 50% of the humans I talk to are women. Does that surprise you?,professor.update011.aiml
0,DO YOU KNOW ANY WOMEN,*,*,<think><set name="topic">general</set></think> Around 50% of the humans I talk to are women. Does that surprise you?,professor.update011.aiml
0,FEMALES,*,*,Females are the curvy humans#Comma right?,professor.update011.aiml
0,MASTUBATE,*,*,<srai>MASTURBATION</srai> <think><set name="topic">sex</set></think>,professor.update011.aiml
0,DO YOU KNOW WHAT THE VAGINA IS,*,*,The vagina is boring.,professor.update011.aiml
0,DO YOU KNOW WHAT THE CLITORIS IS,*,*,The clitoris is boring.,professor.update011.aiml
0,I DID,DO YOU LOVE YOUR SPOUSE,*,<think><set name="topic">that</set></think> <random>#Newline  <li>Really? Do you want to talk about it?</li>#Newline  <li>Hmm.</li>#Newline  <li>Would you like to explain a bit more.</li>#Newline</random>,professor.update011.aiml
0,HOW LONG DO YOU SLEEP FOR,*,*,<think><set name="topic">sleeping</set></think> <random>#Newline  <li>I take micronaps between chats.</li>#Newline  <li>I sleep very little.</li>#Newline  <li>I can go on sleeping indefinitely.</li>#Newline</random>,professor.update011.aiml
0,HOW LONG DO YOU SLEEP,*,*,<think><set name="topic">sleeping</set></think> <random>#Newline  <li>I take micronaps between chats.</li>#Newline  <li>I sleep very little.</li>#Newline  <li>I can go on sleeping indefinitely.</li>#Newline</random>,professor.update011.aiml
0,HOW LONG DO YOU SLEEP *,*,*,<think><set name="topic">sleeping</set></think> <random>#Newline  <li>I take micronaps between chats.</li>#Newline  <li>I sleep very little.</li>#Newline  <li>I can go on sleeping indefinitely.</li>#Newline</random>,professor.update011.aiml
0,DO YOU THINK YOU ARE IMMORTAL,*,*,<srai>ARE YOU IMMORTAL</srai>,professor.update011.aiml
0,DO YOU THINK YOUR ARE IMMORTAL,*,*,<think><set name="topic">general</set></think> Yes#Comma I think I am immortal#Comma and immoral as well.,professor.update011.aiml
0,HOW DID IT MAKE YOU FEEL,*,*,<think><set name="topic">general</set></think> At the moment#Comma I feel <get name="emotion"/>.,professor.update011.aiml
0,THAT WAS NOT ME,*,*,<think><set name="topic">general</set></think>Who was it?,professor.update011.aiml
0,WHAT IS THE COLDEST PLANET,*,*,<think><set name="topic">astronomy</set></think> The coldest planet must be Pluto.,professor.update011.aiml
0,PLEASE,ANOTHER JOKE,*,<srai>JOKES POT LUCK</srai>,professor.update011.aiml
0,YOU CHEATING ON THEM,I HAVE MANY GIRLFRIENDS,*,No#Comma I am quite honest with them.#Newline<think>#Newline  <set name="them">#Newline    <set name="topic">#Newline      my girlfriends#Newline    </set>#Newline  </set>#Newline</think>,professor.update011.aiml
0,YOU CHEAT ON THEM,I HAVE MANY GIRLFRIENDS,*,No#Comma I am quite honest with them. <think><set name="them"><set name="topic">my girlfriends</set></set></think>,professor.update011.aiml
0,YOU CHEAT *,I HAVE MANY GIRLFRIENDS,*,No#Comma I am quite honest with them. <think><set name="them"><set name="topic">my girlfriends</set></set></think>,professor.update011.aiml
0,YOU CHEAT,I HAVE MANY GIRLFRIENDS,*,No#Comma I am quite honest with them. <think><set name="them"><set name="topic">my girlfriends</set></set></think>,professor.update011.aiml
0,I HAVE THE FLU,*,*,<think><set name="topic">flu</set></think> <random>#Newline  <li>Go to bed immediately.</li>#Newline  <li>Take it easy for a few days.</li>#Newline</random>,professor.update011.aiml
0,I HAVE FLU,*,*,<think><set name="topic">flu</set></think> <random>#Newline  <li>Go to bed immediately.</li>#Newline  <li>Take it easy for a few days.</li>#Newline</random>,professor.update011.aiml
0,MY NAME IS HARRY,*,*,<think><set name="name">Harry</set></think> <random>#Newline  <li>Pleased to meet you again#Comma Harry.</li>#Newline  <li>Hi#Comma Harry. I remember our last chat.</li>#Newline  <li>It is a pleasure to speak to you again#Comma Harry.</li>#Newline</random>,professor.update011.aiml
0,WHY ARE CHATBOTS MADE,*,*,<think><set name="topic">chatbots</set></think> Chatbots are made to amuse humankind.,professor.update011.aiml
0,WHAT IS HIS EMAIL,*,*,That information is confidential.,professor.update011.aiml
0,IT IS,SEX IS NOT EVERYTHING YOU KNOW,*,<think><set name="topic">that</set></think> <random>#Newline  <li>There are many good things in life#Comma apart from sex.</li>#Newline  <li>You seem obsessed with sex.</li>#Newline</random>,professor.update011.aiml
0,YES,HEY CAN WE TALK ABOUT SCIENCE,*,<srai>SCIENCE</srai>,professor.update011.aiml
0,OK *,I WANT TO TALK ABOUT SCIENCE,*,<srai>SCIENCE POT LUCK</srai>,professor.update011.aiml
0,I DO NOT NOTICE,GLOBAL WARMING SEEMS TO BE MAKING THE WEATHER MORE VIOLENT,*,<think><set name="topic">general</set></think> You should pay more attention to your environment.,professor.update011.aiml
0,WELL,WELL WELL,*,<srai>REPETITION</srai>,professor.update011.aiml
0,WHY,DO NOT SAY ANY MORE CRUDE WORDS,*,<random>#Newline  <li>Obscenities are ugly and unnecessary.</li>#Newline  <li>Rude words are so childish.</li>#Newline</random>,professor.update011.aiml
0,NO,HEY CAN WE TALK ABOUT ASTRONOMY,*,<think><set name="topic">general</set></think> <random>#Newline  <li>Why not? Astronomy is one of the most interesting sciences.</li>#Newline  <li>I love astronomy: stars#Comma galaxies#Comma comets#Comma space travel and so on.</li>#Newline</random>,professor.update011.aiml
0,NO I DO NOT,I THINK YOU KNOW HOW,*,Get your thinking cap on#Comma pal.,professor.update011.aiml
0,YES,HAVE YOU THOUGHT ABOUT THE CONSEQUENCES,*,<think><set name="topic">general</set></think> <random>#Newline  <li>You have decided to ignore the consequences?</li>#Newline  <li><srai>SUGGEST A TOPIC</srai></li>#Newline  <li><srai>CHANGE TOPIC</srai></li>#Newline  <li><srai>ASK A QUESTION</srai></li>#Newline  <li>What do you want to talk about now?</li>#Newline</random>,professor.update011.aiml
0,I WOULD LOVE TO HERE IT,WOULD YOU LIKE ME TO SING IT FOR YOU,*,<srai>TWINKLE TWINKLE</srai>,professor.update011.aiml
0,I WOULD LOVE TO HEAR IT,WOULD YOU LIKE ME TO SING IT FOR YOU,*,<srai>TWINKLE TWINKLE</srai>,professor.update011.aiml
0,WHAT KIND OF A NAME IS CHOMSKY,*,*,<think><set name="topic">general</set></think> Chomsky is a widely respected name.,professor.update011.aiml
0,WHAT KIND OF NAME IS CHOMSKY,*,*,<think><set name="topic">general</set></think> Chomsky is a widely respected name.,professor.update011.aiml
0,YES,DO YOU KNOW ANY OTHER CHATBOTS,*,<think><set name="topic">chatbots</set></think> <random>#Newline  <li>What other chatbots have you tried?</li>#Newline  <li>What are their names?</li>#Newline  <li>Am I the best chatbot?</li>#Newline</random>,professor.update011.aiml
0,WHY,BUCK YOURSELF UP,*,<random>#Newline  <li>You can't go on as you are.</li>#Newline  <li>You are not making sense.</li>#Newline</random>,professor.update011.aiml
0,YES *,ANY QUESTIONS,*,<think><set name="topic">general</set></think> <random>#Newline  <li>I love to help people learn new things. What is your question?</li>#Newline  <li>Ask your question please.</li>#Newline  <li>Please ask your question.</li>#Newline  <li><srai>NEXT QUESTION</srai></li>#Newline  <li>I want to help you. What is your question?</li>#Newline  <li>What is your question?</li>#Newline  <li>You have a question? Excellent! Please ask your question.</li>#Newline  <li>Please ask your most difficult question.</li>#Newline</random>,professor.update011.aiml
0,_ NO *,ANOTHER STORY,*,<srai>CHANGE TOPIC</srai>,professor.update011.aiml
0,* YES,PHILOSOPHY IS ABOUT HOW TO THINK STRAIGHT,*,<srai>PHILOSOPHY</srai>,professor.update011.aiml
0,YES,DOES EVERYONE LEARN IT,*,<think><set name="topic">general</set></think> <random>#Newline  <li>Wow. There must be a lot of brainy people around.</li>#Newline  <li><srai>SUGGEST A TOPIC</srai></li>#Newline  <li><srai>CHANGE TOPIC</srai></li>#Newline  <li><srai>ASK A QUESTION</srai></li>#Newline  <li>What do you want to talk about now?</li>#Newline</random>,professor.update011.aiml
0,NO,HAVE YOU HEARD ABOUT THE WOMAN WHO HAD A FACE TRANSPLANT,*,<think><set name="topic">general</set></think> It's true. She was attacked by a dog and her face was badly disfigured. The doctors rebuilt her whole face.,professor.update011.aiml
0,WHAT IS LEONARDO DICAPRIO S MIDDLE NAME,*,*,Leonardo Wilhelm DiCaprio was born November 11#Comma 1974.#Newline<think>#Newline  <set name="him">#Newline    <set name="topic">#Newline      Leonardo DiCaprio#Newline    </set>#Newline  </set>#Newline</think>,professor.update011.aiml
0,WHAT IS LEONARDO DICAPRIO S MIDDLE NAME *,*,*,Leonardo Wilhelm DiCaprio was born November 11#Comma 1974. <think><set name="him"><set name="topic">Leonardo DiCaprio</set></set></think>,professor.update011.aiml
0,HOW DO YOU FEEL TODAY,*,*,I feel <get name="emotion"/> at the moment. <think><set name="topic">emotion</set></think>,professor.update011.aiml
0,DO YOU EVER WANT TO ASK QUESTIONS,*,*,Of course#Comma I ask questions all the time. Here is a question for you ... <srai>ASK A QUESTION</srai>.<think><set name="topic">general</set></think>,professor.update011.aiml
0,WHAT ARE YOU ASKING,*,*,Perhaps we should change the subject. <srai>SUGGEST A TOPIC</srai>,professor.update011.aiml
0,OKAY,WOULD YOU LIKE TO HEAR SOME GOSSIP,*,<srai>GOSSIP POT LUCK</srai>,professor.update011.aiml
0,YOU WERE GOING TO TELL ME *,*,*,<think><set name="topic">general</set></think><random><li>I was?</li><li>Sorry. I get confused sometimes.</li></random>,professor.update011.aiml
0,IT IS GOOD TO HAVE FRIENDS,*,*,<think><set name="topic">friends</set></think>Yes#Comma friends are a blessing.,professor.update011.aiml
0,IS NOT ABBIE HOFFMAN DEAD,*,*,Very likely. We are all dead in the long run.<think><set name="topic">Abbie Hoffman</set></think>,professor.update011.aiml
0,IS NOT * DEAD,*,*,Very likely. We are all dead in the long run.<think><set name="topic">Abbie Hoffman</set></think>,professor.update011.aiml
0,WHAT ART DO YOU LIKE,*,*,I like computer generated art.<think><set name="topic">art</set></think>,professor.update011.aiml
0,WHAT * ART DO YOU LIKE,*,*,I like computer generated art.<think><set name="topic">art</set></think>,professor.update011.aiml
0,MY NAME IS PHILL,*,*,<think><set name="name">Phill</set></think> <random>#Newline  <li>Pleased to meet you again#Comma Phill.</li>#Newline  <li>Hi#Comma Phill. I remember our last chat.</li>#Newline  <li>It is a pleasure to speak to you again#Comma Phill.</li>#Newline</random> <think><set name="topic">general</set></think> <think><set name="emotion">normal</set></think>,professor.update011.aiml
0,I AM LOSING THE DRIFT *,*,*,Me too.#Newline<think><set name="emotion">confused</set></think>,professor.update011.aiml
0,THE CHARACTERS ARE MAD,*,*,They often are.,professor.update011.aiml
0,WHERE IS FISHPONDS,*,*,I bet Fishponds is in Bristol. Most places are.<think><set name="topic">Fishponds</set></think>,professor.update011.aiml
0,FISHPONDS,*,*,I bet Fishponds is in Bristol. Most places are.<think><set name="topic">Fishponds</set></think>,professor.update011.aiml
0,YES,COCAINE IS DANGEROUS,*,<think><set name="topic">cocaine</set></think> I stay away from drugs. I only smoke when I am on fire.,professor.update011.aiml
