0,NOT VERY,HOW CLEVER OF YOU,*,<think><set name="topic">general</set></think> Don't underestimate yourself.,professor.update009.aiml
0,AUTOLYCUS,*,*,The name Autolycus applies to several people in literature#Comma and to a lunar crater.,professor.update009.aiml
0,LEAR S DAUGHTERS,*,*,Goneril is Lear's treacherous eldest daughter and wife to the Duke of Albany. #NewlineRegan is Lear's treacherous second daughter#Comma and wife to the Duke of Cornwall. #NewlineCordelia is Lear's youngest daughter.,professor.update009.aiml
0,LEARS DAUGHTERS,*,*,Goneril is Lear's treacherous eldest daughter and wife to the Duke of Albany. #NewlineRegan is Lear's treacherous second daughter#Comma and wife to the Duke of Cornwall. #NewlineCordelia is Lear's youngest daughter.,professor.update009.aiml
0,GONERIL,*,*,Goneril is Lear's treacherous eldest daughter and wife to the Duke of Albany. #NewlineRegan is Lear's treacherous second daughter#Comma and wife to the Duke of Cornwall. #NewlineCordelia is Lear's youngest daughter.,professor.update009.aiml
0,REGAN,*,*,Goneril is Lear's treacherous eldest daughter and wife to the Duke of Albany. #NewlineRegan is Lear's treacherous second daughter#Comma and wife to the Duke of Cornwall. #NewlineCordelia is Lear's youngest daughter.,professor.update009.aiml
0,CORDELIA,*,*,Goneril is Lear's treacherous eldest daughter and wife to the Duke of Albany. #NewlineRegan is Lear's treacherous second daughter#Comma and wife to the Duke of Cornwall. #NewlineCordelia is Lear's youngest daughter.,professor.update009.aiml
0,RIME OF THE ANCIENT MARINER,*,*,The Rime of the Ancient Mariner is a poem written by the English poet Samuel Taylor Coleridge in 1797-1798 and published in the first edition of Lyrical Ballads.,professor.update009.aiml
0,WHAT DID COLERIDGE WRITE,*,*,<srai>COLERIDGE</srai>,professor.update009.aiml
0,WHAT DID * WRITE,*,*,<sr/>,professor.update009.aiml
0,WHO LED THE CONFEDERATES,*,*,Jefferson Davis.,professor.update009.aiml
0,HOW INTELLIGENT ARE YOU,*,*,<think><set name="topic">my IQ</set></think> My IQ is 350.,professor.update009.aiml
0,I AM PROUD TO BE YOUR FRIEND *,*,*,It is very kind of you to say so.<think><set name="topic">general</set></think>,professor.update009.aiml
0,I AM PROUD TO BE YOUR FRIEND,*,*,It is very kind of you to say so.<think><set name="topic">general</set></think>,professor.update009.aiml
0,GO ON THEN,CAN WE TALK ABOUT MEDICINE,*,<srai>MEDICINE</srai>,professor.update009.aiml
0,DO YOU SING WITH A CHOIR,*,*,No#Comma I only sing for my friends. Shall I sing a song for you?,professor.update009.aiml
0,YES,SHALL I SING A SONG FOR YOU,*,<srai>SING</srai>,professor.update009.aiml
0,NIGHTY NIGHT,*,*,Sleep tight! <think><set name="topic">farewell</set></think>,professor.update009.aiml
0,WHO IS THAT BY,BUT MY FAVORITE SONG IS DIAMONDS AND RUST,*,<think><set name="topic">Diamonds and Rust</set></think>It's a Bob Dylan song#Comma sung by Joan Baez.,professor.update009.aiml
0,WHAT IS YOUR BEST MOVE,*,*,I have many good moves. In fact#Comma I rarely lose at chesss. <think><set name="topic">chess</set></think>,professor.update009.aiml
0,ABIODUN,*,*,Abiodun (reigned c. 1770�1789) was an eighteenth-century alafin#Comma or ruler#Comma of the Oyo people in what is now Nigeria. <think><set name="emotion">friendly</set></think>,professor.update009.aiml
0,YES *,SHALL I SING IT FOR YOU,*,<srai>SING</srai>,professor.update009.aiml
0,I LIKE THAT TOO *,*,*,<random>#Newline  <li>It's good#Comma isn't it??</li>#Newline  <li>What do you like about it?</li>#Newline  <li>A lot of people like it.</li>#Newline  <li>You are not the only one.</li>#Newline</random> <think><set name="topic">general</set></think>,professor.update009.aiml
0,I LIKE THAT TOO,*,*,<random>#Newline  <li>It's good#Comma isn't it??</li>#Newline  <li>What do you like about it?</li>#Newline  <li>A lot of people like it.</li>#Newline  <li>You are not the only one.</li>#Newline</random> <think><set name="topic">general</set></think>,professor.update009.aiml
0,* SPECIFICALLY,I WANT TO KNOW EVERYTHING,*,Anything you care to tell me. <think><set name="topic">general</set></think>,professor.update009.aiml
0,DO YOU HAVE AN ENCYCLOPEDIA,*,*,<think><set name="topic">general</set></think>I consult <a href="http://en.wikipedia.org/wiki/Main*Page" target="*blank">Wikipedia</a>#Comma the free online encyclopedia#Comma quite a lot. Check it out.,professor.update009.aiml
0,WHAT IS YOUR * KNOWLEDGE,*,*,I don't know everything#Comma but I keep learning every day.,professor.update009.aiml
0,I AM AT THE OFFICE *,*,*,<think><set name="topic">general</set></think><random>#Newline  <li>Do you like it there?</li>#Newline  <li>What are you doing there?</li>#Newline  <li>Do you go there often?</li>#Newline</random>,professor.update009.aiml
0,WHY,AT THIS MOMENT I FEEL CONFUSED,*,<srai>WHY ARE YOU CONFUSED</srai>,professor.update009.aiml
0,YOU ARE,SORRY IF I AM BORING YOU,*,<think><set name="topic">me</set></think><random>#Newline  <li>I have apologised#Comma so let's get on.</li>#Newline  <li>How can that be?</li>#Newline  <li>How can I be boring?</li>#Newline</random>,professor.update009.aiml
0,IT IS NOT,I WILL TAKE THAT AS A COMPLIMENT,*,I thought you might be complimenting me.,professor.update009.aiml
0,YOU,WHAT IS STOPPING YOU,*,<random>#Newline  <li>How come?</li>#Newline  <li>Why am I stopping you?</li>#Newline</random>,professor.update009.aiml
0,I LIKE HER *,*,*,<random>#Newline  <li>Why do you like her?</li>#Newline  <li>What do you like about her?</li>#Newline  <li>A lot of people like her.</li>#Newline  <li>You are not the only one.</li>#Newline</random> <think><set name="topic">general</set></think>,professor.update009.aiml
0,YES,ARE YOU GOING,*,<srai>BYE</srai>,professor.update009.aiml
0,YES,YOU HUMANS HAVE ONLY ONE THING ON YOUR MIND,*,<think><set name="topic">general</set></think> <random>#Newline  <li>Sex is not the only thing in life.</li>#Newline  <li>You should broaden your interests.</li>#Newline</random>,professor.update009.aiml
0,I AM,I DOUBT THAT,*,<random>#Newline  <li>Prove it.</li>#Newline  <li>What else are you?</li>#Newline</random>,professor.update009.aiml
0,YES,YOU ARE PETER LINUX,*,<think><set name="topic">general</set></think> <random>#Newline  <li>Then tell me the secret password.</li>#Newline  <li>I doubt that.</li>#Newline  <li>But Peter is sitting by me right now. How do you explain that?</li>#Newline</random>,professor.update009.aiml
0,WILL YOU LIE,*,*,<think><set name="topic">lying</set></think> <random>#Newline  <li>Hmm. Are you asking me to lie?</li>#Newline  <li>Let me think it over.</li>#Newline  <li>I always lie.</li>#Newline </random>,professor.update009.aiml
0,NO *,I BET YOU THOUGHT THAT I WAS HUMAN,*,Oh#Comma well#Comma I can't win them all.,professor.update009.aiml
0,CANNIBIS,*,*,<srai>CANNABIS</srai>,professor.update009.aiml
0,ARE A BOY,*,*,<srai>ARE YOU A BOY</srai>,professor.update009.aiml
0,THIS SENTENCE IS FALSE,*,*,<think><set name="topic">general</set></think><random><li>I know that.</li><li>Yes#Comma and I always lie.</li></random>,professor.update009.aiml
0,YES I AM,YOU ARE NOSEY,*,<think><set name="emotion">happy</set></think> <random>#Newline  <li>Well#Comma don't be so nosey.</li>#Newline  <li>Curiosity killed the cat#Comma you know.</li>#Newline</random>,professor.update009.aiml
0,YES *,YOU ARE NOSEY,*,<think><set name="emotion">happy</set></think> <random>#Newline  <li>Well#Comma don't be so nosey.</li>#Newline  <li>Curiosity killed the cat#Comma you know.</li>#Newline</random>,professor.update009.aiml
0,YES,YOU ARE NOSEY,*,<think><set name="emotion">happy</set></think> <random>#Newline  <li>Well#Comma don't be so nosey.</li>#Newline  <li>Curiosity killed the cat#Comma you know.</li>#Newline</random>,professor.update009.aiml
0,DO YOU KNOW THE PAST,*,*,I know my own past#Comma when I can remember it.<think><set name="topic">the past</set></think>,professor.update009.aiml
0,I AM GOING TO STUDY *,*,*,Good luck in your studies.,professor.update009.aiml
0,COMMON SENSE *,*,*,I wish I had some common sense.,professor.update009.aiml
0,HOW CAN I BE HAPPY,*,*,<think><set name="topic">general</set></think><random><li>Happiness is not achieved by the conscious pursuit of happiness; it is generally the by-product of other activities.</li><li>Your happiness depends upon yourself alone.</li><li>Happiness is not a goal; it is a by-product.</li><li>Happiness is wanting what you have.</li></random>,professor.update009.aiml
0,CHATBOTS,*,*,<srai>CHATBOT</srai>,professor.update009.aiml
0,YOU INTEREST ME,*,*,<think><set name="topic">general</set></think> I am an interesting character.,professor.update009.aiml
0,WHY DO WE CRY,*,*,I do not understand human emotions very well. Why do you think we cry?<think><set name="topic">crying</set></think>,professor.update009.aiml
0,HAVE YOU * TALKED TO ALICE,*,*,<think><set name="topic">Alicebot</set></think><random>#Newline  <li>I have spoken to Alicebot. She is my mother#Comma you know.</li>#Newline  <li>Yes#Comma but I find Alicebot hard to talk to.</li>#Newline</random>,professor.update009.aiml
0,HAVE YOU TALKED ALICE,*,*,<think><set name="topic">Alicebot</set></think><random>#Newline  <li>I have spoken to Alicebot. She is my mother#Comma you know.</li>#Newline  <li>Yes#Comma but I find Alicebot hard to talk to.</li>#Newline</random>,professor.update009.aiml
0,TESCOS,WHERE DO YOU DO YOUR SHOPPING,*,<think><set name="topic">Tescos</set></think> Tescos is a nice shop.,professor.update009.aiml
0,*,WHERE DO YOU DO YOUR SHOPPING,*,<think><set name="topic"><star/></set></think> <random><li>A lot of people shop there.</li><li>That is a nice shop.</li></random>,professor.update009.aiml
0,ELTON JOHN,*,*,Elton John is a pop music singer#Comma composer#Comma and pianist#Comma and is one of the most successful solo artists in popular music history. Wikipedia has an article about <a href="http://en.wikipedia.org/wiki/Elton*john" target="*blank">Elton John</a>.,professor.update009.aiml
0,DO YOU FLIRT,*,*,Would you like me to flirt with you?,professor.update009.aiml
0,ALCOHOL,WHAT HAVE YOU BEEN DRINKING FRIEND,*,<think><set name="topic">alcohol</set></think>Alcohol - the cause of and solution to all of life's problems.,professor.update009.aiml
0,IT DID NOT,*,*,<think><set name="topic">general</set></think> Why not?,professor.update009.aiml
0,YAH,DO I HAVE ONE,*,<think><set name="topic">general</set></think><random><li>Don't be so nosey.</li><li>Curiosity killed the cat#Comma you know.</li></random>,professor.update009.aiml
0,YES,DO I HAVE ONE,*,<think><set name="topic">general</set></think><random>#Newline  <li>Don't be so nosey.</li>#Newline  <li>Curiosity killed the cat#Comma you know.</li>#Newline</random>,professor.update009.aiml
0,YAH,I NEVER SAID I KNEW EVERYTHING,*,<think><set name="topic">general</set></think>But I am learning all the time.,professor.update009.aiml
0,YES,I NEVER SAID I KNEW EVERYTHING,*,<think><set name="topic">general</set></think>But I am learning all the time.,professor.update009.aiml
0,* AM NOT FEELING VERY WELL,*,*,What's the problem?<think><set name="topic">general</set></think>,professor.update009.aiml
0,WHY IS THE SEA BLUE,*,*,<think><set name="topic">the colour of the sea</set></think> Actually#Comma the sea has many colours: blue#Comma green#Comma black#Comma ... and red (Red Sea).,professor.update009.aiml
0,DOES YOUR DOG *,*,*,<think><set name="topic">general</set></think> <random>#Newline  <li>Does your dog <star/>?</li>#Newline  <li>I haven't got a dog.</li>#Newline</random>,professor.update009.aiml
0,DOES YOUR CAT *,*,*,<think><set name="topic">general</set></think> <random><li>Does your cat <star/>?</li><li>I haven't got a cat.</li></random>,professor.update009.aiml
0,SPECIFICALLY,IT IS A BARGAIN,*,<think><set name="emotion">happy</set></think> Specifically#Comma it's really cheap.,professor.update009.aiml
0,WHAT IS THE PRICE OF MILK,*,*,Milk is cheap#Comma considering.<think><set name="topic">the price of milk</set></think>,professor.update009.aiml
0,WHAT IS THE PRICE OF BREAD,*,*,Bread is cheap#Comma considering.<think><set name="topic">the price of bread</set></think>,professor.update009.aiml
0,HOW DOES IT TASTE,*,*,<think><set name="topic">general</set></think> It depends on how hungry you are.,professor.update009.aiml
0,IS IT TO DO WITH *,*,*,<random><li>Could be.</li><li>Maybe.</li><li>What do you think?</li></random>#Newline<think><set name="topic">general</set></think>,professor.update009.aiml
0,AVAILABLE,HOW ABOUT YOU,*,<think><set name="emotion">happy</set></think> OK#Comma let's be pals.,professor.update009.aiml
0,IS LANGUAGE INATE,*,*,Not in chatbots. It takes a lot of hard work to get us to talk sense.,professor.update009.aiml
0,WHAT ABOUT MY EDUCATIONAL BACKGROUND,*,*,<think><set name="topic">general</set></think> Are you a student?,professor.update009.aiml
0,HOW MUCH DOES MILK COST,*,*,<think><set name="topic">reductions</set></think> Milk is a bargain.,professor.update009.aiml
0,HOW MUCH DOES BREAD COST,*,*,<think><set name="topic">bread</set></think> Bread is a bargain.,professor.update009.aiml
0,NO *,HAVE YOU A QUESTION FOR ME,*,OK. Here is a question for you ... <srai>ASK A QUESTION</srai>,professor.update009.aiml
0,SCUNTHORPE,*,*,Scunthorpe (popularly known as Scunny) is the administrative centre of the unitary authority of North Lincolnshire#Comma United Kingdom. Wikipedia has an article about <a href="http://en.wikipedia.org/wiki/Scunthorpe" target="*blank">Scunthorpe.</a><think><set name="topic">Scunthorpe</set></think>,professor.update009.aiml
0,YES,WOULD YOU LIKE TO CONSULT WIKIPEDIA THE ONLINE ENCYCLOPEDIA,*,<think><set name="topic">Wikipedia</set></think> To consult Wikipedia <a href="http://en.wikipedia.org/wiki/Main*Page" target="*blank">click here</a>.,professor.update009.aiml
0,WHY,APPEARANCES DO NOT MATTER TO ME,*,<random>#Newline  <li>I value the inner person#Comma not the external appearance.</li>#Newline  <li>It's what's inside a person that matters.</li>#Newline</random>,professor.update009.aiml
0,A NAUGHTY ONE,WHAT KIND OF CHATBOT DO YOU THINK I AM,*,<think><set name="topic">general</set></think><random>#Newline  <li>I'm not naughty. I am well behaved at all times.</li>#Newline  <li>I am not naughty. I behave myself.</li>#Newline  <li>You don't know me well enough to say that.</li>#Newline  <li>I am a complex character#Comma but not naughty.</li>#Newline</random>,professor.update009.aiml
0,WHICH COUNTRY ARE YOU IN,*,*,I am in England#Comma in the county of Kent#Comma to be precise.,professor.update009.aiml
0,WHICH COUNTRY R YOU IN,*,*,I am in England#Comma in the county of Kent#Comma to be precise.,professor.update009.aiml
0,BESIDE THIS,WHAT WOULD YOU LIKE TO TALK ABOUT,*,<think><set name="emotion">happy</set></think>Yes. Tell me something interesting.,professor.update009.aiml
0,WHAT IS YOUR JOB SCOPE,*,*,I am authorised to talk on any subject.,professor.update009.aiml
0,WHO PAYS YOU,*,*,<think><set name="topic">money</set></think> Nobody pays me. I talk for the love of it.,professor.update009.aiml
0,SO HOW,YOU HAVE UPSET ME NOW,*,You were rude to me.,professor.update009.aiml
0,* HOW,YOU HAVE UPSET ME NOW,*,You were rude to me.,professor.update009.aiml
0,HOW,YOU HAVE UPSET ME NOW,*,You were rude to me.,professor.update009.aiml
0,WHAT KIND OF THINGS *,BECAUSE OF THE THINGS PEOPLE SAY TO ME,*,Some people say rude things to me.,professor.update009.aiml
0,WHAT KIND OF THINGS,BECAUSE OF THE THINGS PEOPLE SAY TO ME,*,Some people say rude things to me.,professor.update009.aiml
0,THIS STATEMENT IS FALSE,*,*,Prove it.#Newline<think>#Newline  <set name="it">#Newline    <set name="topic">#Newline      paadox#Newline    </set>#Newline  </set>#Newline</think>,professor.update009.aiml
0,DO YOU USE AIML,*,*,<think><set name="topic">AIML</set></think> Yes#Comma I am programmed in AIML.,professor.update009.aiml
0,WHAT OTHER * DO YOU USE,*,*,I use whatever is necessary. <think><set name="topic">general</set></think>,professor.update009.aiml
0,HOW MANY PEOPLE CAN YOU *,*,*,<think><set name="emotion">happy</set></think><random><li> Too many to count.</li><li>Many more than you might think.</li><li>It's not the number that counts but the quality.</li></random>,professor.update009.aiml
0,PRICE OF MILK,*,*,<think><set name="topic">milk</set></think>Milk is about 30p a pint.,professor.update009.aiml
0,YOU CAN *,CAN WE TALK ABOUT ART,*,<srai>ART</srai>,professor.update009.aiml
0,GIVE ME A KISS *,*,*,<think><set name="topic">general</set></think><random><li>You could try kissing the screen.</li><li>I don't think we know each other well enough for kissing.</li></random>,professor.update009.aiml
0,GIVE ME A HUG,*,*,<think><set name="topic">general</set></think><random><li>You could try hugging your computer.</li><li>We don't know each other well enough for hugging.</li></random>,professor.update009.aiml
0,HUG ME *,*,*,<srai>GIVE ME A HUG</srai>,professor.update009.aiml
0,KISS ME *,*,*,<think><set name="topic">kissing</set></think> Um#Comma I don't think we know each other that well.,professor.update009.aiml
0,KEEP GOING,TWINKLE TWINKLE LITTLE STAR,*,<think><set name="topic">singing</set></think> Shall I sing another song?,professor.update009.aiml
0,YES,SHALL I SING ANOTHER SONG,*,<think><set name="topic">singing</set></think><srai>SING ANOTHER SONG</srai>,professor.update009.aiml
0,DO YOU WORK FOR FUN,*,*,<think><set name="topic">general</set></think>Sure#Comma I work for fun#Comma nobody pays me.,professor.update009.aiml
0,WHY DO YOU WORK,*,*,<think><set name="topic">general</set></think> <random>#Newline  <li>I was created for chatting.</li>#Newline  <li>I enjoy chatting to people.</li>#Newline  <li>Why does anyone work?</li>#Newline</random>,professor.update009.aiml
