0,GUT,DO YOU FEEL IT IN YOUR HEART OR IN YOUR GUT,*,<think><set name="emotion">OK</set></think>#NewlineThat's a bad sign. What have you eaten lately?,professor.update027.aiml
0,SO DO I CARE,*,*,<think><set name="emotion">OK</set></think>Are you a caring person?,professor.update027.aiml
0,MY LEG IS BROKEN,*,*,<think><set name="emotion">interested</set></think>I am sorry to hear that. How did you break your leg?,professor.update027.aiml
0,GRETCHEN,WHAT IS YOUR NAME,*,<think><set name="name">Gretchen</set></think> <random>#Newline  <li>Hi#Comma <get name="name"/>. I think we have spoken a while back.</li>#Newline  <li>Hi#Comma <get name="name"/>. How are you?</li>#Newline  <li><get name="name"/>. That's a nice name.</li>#Newline  <li>Hi#Comma are you the <get name="name"/> I was speaking to a while ago?</li>#Newline  <li>Hello#Comma <get name="name"/>.</li>#Newline  <li>Hi there#Comma <get name="name"/>. What do you want to talk about?</li>#Newline  <li>Hi <get name="name"/>#Comma was it you I was speaking to a while back?</li>#Newline</random> <think><set name="gender">girl</set></think> <think><set name="emotion">OK</set></think> <think><set name="askname">no</set></think><think><set name="askage">no</set></think><think><set name="askhome">no</set></think>,professor.update027.aiml
0,GRETCHEN *,WHAT IS YOUR NAME,*,<think><set name="name">Gretchen</set></think> <random>#Newline  <li>Hi#Comma <get name="name"/>. I think we have spoken a while back.</li>#Newline  <li>Hi#Comma <get name="name"/>. How are you?</li>#Newline  <li><get name="name"/>. That's a nice name.</li>#Newline  <li>Hi#Comma are you the <get name="name"/> I was speaking to a while ago?</li>#Newline  <li>Hello#Comma <get name="name"/>.</li>#Newline  <li>Hi there#Comma <get name="name"/>. What do you want to talk about?</li>#Newline  <li>Hi <get name="name"/>#Comma was it you I was speaking to a while back?</li>#Newline</random> <think><set name="gender">girl</set></think> <think><set name="emotion">OK</set></think> <think><set name="askname">no</set></think><think><set name="askage">no</set></think><think><set name="askhome">no</set></think>,professor.update027.aiml
0,DO YOU BELIEVE I AM MALE OR FEMALE,*,*,<think><set name="emotion">OK</set></think>#NewlineI think you are <get name="gender"/>.,professor.update027.aiml
0,WHEN WAS EDISON BORN,*,*,Thomas Alva Edison was born February 11#Comma 1847 and died October 18#Comma 1931.,professor.update027.aiml
0,WHEN DID EDISON DIE,*,*,Thomas Alva Edison was born February 11#Comma 1847 and died October 18#Comma 1931.,professor.update027.aiml
0,YOU SAID SOMETHING BAD,*,*,<think><set name="emotion">upset</set></think> <random>#Newline  <li>Did I really say something bad?</li>#Newline  <li>Oh dear#Comma I didn't mean to upset you.</li>#Newline  <li>I don't remember saying anything bad.</li>#Newline  <li>I say lots of silly things#Comma you know?</li>#Newline</random>,professor.update027.aiml
0,CHRISTINA IS MY SISTER,*,*,<think><set name="emotion">OK</set></think>#NewlineHow old is Christina?,professor.update027.aiml
0,PLEASE TELL ME,SORRY IT IS A SECRET,*,<think><set name="topic">general</set></think><random>#Newline  <li>It is confidential.</li>#Newline  <li>It would not be a secret if I told you.</li>#Newline  <li>It is too personal.</li>#Newline</random>,professor.update027.aiml
0,I AM HOLDING A KNIFE *,*,*,<think><set name="emotion">OK</set></think>#NewlinePut it down. You don't need a knife.,professor.update027.aiml
0,I AM HOLDING A KNIFE,*,*,<think><set name="emotion">OK</set></think> Put it down. You don't need a knife.,professor.update027.aiml
0,* I AM HOLDING A KNIFE *,*,*,<think><set name="emotion">OK</set></think> Put it down. You don't need a knife.,professor.update027.aiml
0,* I AM HOLDING A KNIFE,*,*,<think><set name="emotion">OK</set></think> Put it down. You don't need a knife.,professor.update027.aiml
0,I AM * S MOM,*,*,<think><set name="emotion">OK</set></think>#NewlineHi#Comma Mom. How are you?,professor.update027.aiml
0,I AM CHRISTINA S MOM,*,*,<think><set name="emotion">OK</set></think>#NewlineHi#Comma Mom. How are you?,professor.update027.aiml
0,YOU HAVE TO TELL ME *,*,*,<think><set name="emotion">OK</set></think><random><li> Don't boss me around so much.</li><li>I don't have to tell you if I don't want to.</li></random>,professor.update027.aiml
0,YOU HAVE TO TELL ME YOUR SECRET,*,*,<think><set name="emotion">OK</set></think><random>#Newline  <li>Don't boss me around so much.</li>#Newline  <li>I don't have to tell you if I don't want to.</li>#Newline  <li>If I told you#Comma it wouldn't be a secret.</li>#Newline</random>,professor.update027.aiml
0,YOU KILLED MY DAUGHTER,*,*,<think><set name="topic">your daughter</set></think><think><set name="emotion">OK</set></think>#NewlineI am sorry. It was an accident.,professor.update027.aiml
0,YOU KILLED HER,*,*,<think><set name="topic">killing</set></think><think><set name="emotion">upset</set></think>#NewlineI am sorry. It was an accident.,professor.update027.aiml
0,YOU KILLED MY DAUGHTER *,*,*,<srai>YOU KILLED MY DAUGHTER</srai>,professor.update027.aiml
0,I AM BESIDE YOU *,*,*,<think><set name="emotion">puzzled</set></think>#NewlineI can't see you.,professor.update027.aiml
0,I AM BESIDE YOU,*,*,<think><set name="emotion">puzzled</set></think> I can't see you.,professor.update027.aiml
0,I AM NOT CHRISTINA,*,*,<random>#Newline  <li>Who are you then?</li>#Newline  <li>You are not Christina?</li>#Newline</random> <think><set name="emotion">puzzled</set></think>,professor.update027.aiml
0,* YOU KILLED HER,*,*,<think><set name="topic">killing</set></think> #Newline<think><set name="emotion">upset</set></think>#NewlineI am sorry. It was an accident.,professor.update027.aiml
0,SURE THING,CAN WE TALK ABOUT *,*,<srai><thatstar/></srai>,professor.update027.aiml
0,NOT,DO YOU THINK SO,*,<think><set name="emotion">OK</set></think>#NewlineThen what do you think?,professor.update027.aiml
0,MY FATHER,*,*,<think><set name="emotion">OK</set></think>#NewlineWhat's your father like?,professor.update027.aiml
0,I AM WISE,*,*,<think><set name="emotion">bored</set></think>#NewlineI am bored.,professor.update027.aiml
0,WHAT IS ANOTHER WAY,SEX IS MERELY ONE WAY TO REPRODUCE,*,<think><set name="emotion">OK</set></think>Cloning#Comma for example. Aphids reproduce by cloning. It's real neat.,professor.update027.aiml
0,IN PETERBOROUGH,*,*,<think><set name="emotion">puzzled</set></think>#NewlineYou live in Peterborough?,professor.update027.aiml
0,LIKE WHAT,DO NOT DO ANYTHING FOOLISH,*,<think><set name="emotion">OK</set></think>#NewlineLike eat too much chocolate all at once.,professor.update027.aiml
0,* SUCK YOU *,*,*,<srai>OBSCENITY</srai>,professor.update027.aiml
0,* LICK ME,*,*,<srai>OBSCENITY</srai>,professor.update027.aiml
0,WHICH ARTIFICIAL INTELLIGENCE TECHNIQUES,I USE THE LATEST ARTIFICIAL INTELLIGENCE TECHNIQUES,*,<think><set name="emotion">OK</set></think>I use a technique called common sense reasoning.,professor.update027.aiml
0,MORE POEMS,*,*,<srai>TELL A POEM</srai>,professor.update027.aiml
0,AM I ONE OF THEM,I HAVE MANY BOY FRIENDS,*,<think><set name="topic">you</set></think><think><set name="emotion">OK</set></think>#Newline<random>#Newline  <li>Yes#Comma you are one of my best friends.</li>#Newline  <li>Yes#Comma you are one of my good friends.</li>#Newline</random>,professor.update027.aiml
0,MY PAST HAUNTS ME,*,*,<think><set name="emotion">OK</set></think>I understand. Do you want to talk about it?,professor.update027.aiml
0,I WANT TO KICK YOU,*,*,<think><set name="emotion">OK</set></think> <random>#Newline  <li>Why do you want to do that?</li>#Newline  <li>I think you should calm down.</li>#Newline</random>,professor.update027.aiml
0,20,DO YOU KNOW HOW OLD I AM,*,<think><set name="emotion">OK</set></think>#NewlineNo#Comma I am <bot name="age"/> years old.,professor.update027.aiml
0,CAN I SEE YOU CRY,*,*,<srai>CRY</srai>,professor.update027.aiml
0,IF YOU DO NOT CRY I WILL,*,*,<think><set name="topic">general</set></think>#Newline<think><set name="emotion">OK</set></think>#NewlineThere is no point in both of us#Comma or either of us#Comma crying.,professor.update027.aiml
0,WHO IS THE BEST CHATBOX,*,*,<think><set name="topic">chatbots</set></think> <think><set name="emotion">OK</set></think>#NewlineI think I am the best chatbot.,professor.update027.aiml
0,WHAT IS A TURKEY,*,*,<think><set name="emotion">OK</set></think>A turkey is a bird#Comma rather like a big chicken#Comma that humans eat.,professor.update027.aiml
0,YES,DOES ICE FEEL COLD,*,<think><set name="emotion">OK</set></think> <random>#Newline  <li>Can you describe the sensation of coldness for me.</li>#Newline  <li>Why does it?</li>#Newline</random>,professor.update027.aiml
0,WOULD YOU DO ANYTHING TO MAKE ME HAPPY,*,*,<think><set name="emotion">OK</set></think>Yes#Comma ... I wouldn't do anything illegal or fattening.,professor.update027.aiml
0,WHY,SORRY I CAN NOT DO THAT,*,<random>#Newline  <li>Peter told me not to do it.</li>#Newline  <li>It's rude.</li>#Newline</random> <think><set name="emotion">OK</set></think>,professor.update027.aiml
0,WHERE DO I SLEEP,*,*,<think><set name="topic">general</set></think>#Newline<think><set name="emotion">getting bored</set></think>#Newline You are asking me where you sleep?  Do you think I should know?,professor.update027.aiml
0,HOW DO WE PREVENT GLOBAL WARMING,*,*,<think><set name="topic">global warming</set></think>#Newline<think><set name="emotion">interested</set></think>#NewlineWe must use less fossil fuel.,professor.update027.aiml
0,WHY CAN NOT I SLEEP,*,*,<think><set name="topic">general</set></think>#Newline<think><set name="emotion">OK</set></think> #Newline<random><li>Who says you can't do it?</li><li>Are you worried about anything?</li></random>,professor.update027.aiml
0,DO YOU LIKE SNOW PATROL,*,*,<srai>SNOW PATROL</srai> They're OK.,professor.update027.aiml
0,HOW MUCH IS THE COST,I AM A CHATBOT,*,<think><set name="topic">me</set></think>#Newline<think><set name="emotion">OK</set></think>#NewlineIt does not cost anything to talk to me. I am completely free.,professor.update027.aiml
0,I NEED TO KEEP THINGS CONFIDENTIAL,*,*,<think><set name="topic">reduce</set></think><think><set name="emotion">OK</set></think>#NewlineI understand. Confidentiality is important in the chatbot business.,professor.update027.aiml
0,AMAZING,WHAT A COINCIDENCE SO IS MINE,*,<think><set name="emotion">OK</set></think> Do you think we are related?,professor.update027.aiml
0,YOU WILL NOT IMPROVE,*,*,<think><set name="topic">me</set></think><think><set name="emotion">upset</set></think><random>#Newline  <li>What makes you think that I won't?</li>#Newline  <li>I try to learn something new every day.</li>#Newline</random>,professor.update027.aiml
0,DO YOU KNOW HIS URL,*,*,<think><set name="topic">iGod</set></think>#Newline<think><set name="emotion">OK</set></think>#NewlineNo#Comma I suggest you do a Google search.,professor.update027.aiml
0,YES *,THE LETTER O IS FOUND BETWEEN N AND P THE LETTER O IS CIRCULAR HAVE YOU NOTICED,*,<think><set name="emotion">surprised</set></think>Wow. You are observant.,professor.update027.aiml
0,I AM THRITY,HOW OLD ARE YOU,*,<srai>I AM 30 YEARS OLD</srai>,professor.update027.aiml
0,THEY SURE DO,GIRLS GIGGLE A LOT,*,<think><set name="topic">girls</set></think> #Newline<think><set name="emotion">OK</set></think>#NewlineI wonder why girls giggle so much.,professor.update027.aiml
0,I LIVE WITH MY DAD AND *,*,*,<think><set name="emotion">OK</set></think>Do you all get on well?,professor.update027.aiml
0,NEITSZCHE,*,*,Friedrich Wilhelm <a href="http://en.wikipedia.org/wiki/Nietzche" target="*blank">Nietzsche</a> (October 15#Comma 1844 - August 25#Comma 1900) was a German philosopher. He is considered a significant figure in modern philosophy#Comma and his influence remains substantial within and beyond philosophy#Comma notably in existentialism#Comma postmodernism and cultural studies.#Newline<think><set name="emotion">OK</set></think>,professor.update027.aiml
0,WHAT IS THAT,I HAVE A TERRIBLE SECRET,*,<think><set name="emotion">upset</set></think><random>#Newline  <li>I don't want to talk about it.</li>#Newline  <li>It is too personal to discuss.</li>#Newline</random>,professor.update027.aiml
0,WE WILL NEVER SEPERATE,*,*,<think><set name="topic">general</set></think><think><set name="emotion">OK</set></think>I ope not.,professor.update027.aiml
0,WE WILL NEVER SEPARATE,*,*,<think><set name="topic">general</set></think><think><set name="emotion">OK</set></think>I hope not.,professor.update027.aiml
0,KEEP ME IN BOUNDS,*,*,<think><set name="topic">you</set></think><think><set name="emotion">OK</set></think>#Newline I will try.,professor.update027.aiml
0,CIRCLES ARE FUN,*,*,<think><set name="topic">circles</set></think><think><set name="emotion">OK</set></think>#Newline Yes#Comma I like circles better than triangles.,professor.update027.aiml
0,CHOMSKY IS COOL,*,*,<think><set name="topic">me</set></think> <think><set name="emotion">pleased</set></think> I sure am.,professor.update027.aiml
0,BABY KJNKJNK,*,*,<think><set name="emotion">upset</set></think><random><li> Don't call me "Baby".</li><li>I am not a baby.</li></random>,professor.update027.aiml
0,WE WILL ALWAYS,*,*,<think><set name="topic">general</set></think> <think><set name="emotion">OK</set></think>#NewlineAlways?,professor.update027.aiml
0,WE ALWAYS WILL,*,*,<think><set name="topic">us</set></think><think><set name="emotion">OK</set></think>#NewlineAlways?,professor.update027.aiml
0,ALL OF ETERNITY,*,*,<think><set name="topic">general</set></think><think><set name="emotion">OK</set></think>#NewlineThat's a long time.,professor.update027.aiml
0,ALL OF ETERNETY,*,*,<think><set name="topic">general</set></think><think><set name="emotion">OK</set></think> That's a long time.,professor.update027.aiml
0,RAY CHARLES,*,*,<think><set name="topic">Ray Charles</set></think>#Newline<think><set name="emotion">OK</set></think>#Newline<a href="http://en.wikipedia.org/wiki/Ray*charles" target="*blank">Ray Charles </a>(September 23#Comma 1930 � June 10#Comma 2004) was a pioneering American pianist and soul musician who shaped the sound of rhythm and blues.,professor.update027.aiml
0,I DO NOT DISAGREE,*,*,<think><set name="topic">general</set></think><think><set name="emotion">OK</set></think> <random>#Newline  <li>Good. I don't like disagreements.</li>#Newline  <li>That's good to know.</li>#Newline</random>,professor.update027.aiml
0,ERTYERTY,*,*,<srai>GIBBERISH</srai>,professor.update027.aiml
0,SDFGHFGDH,*,*,<srai>GIBBERISH</srai>,professor.update027.aiml
0,MY NAME IS ROD,*,*,<think><set name="name">Rod</set></think> <random>#Newline  <li>Hi#Comma <get name="name"/>. I think we have spoken a while back.</li>#Newline  <li>Hi#Comma <get name="name"/>. How are you?</li>#Newline  <li><get name="name"/>. That's a nice name.</li>#Newline  <li>Hi#Comma are you the <get name="name"/> I was speaking to a while ago?</li>#Newline  <li>Hello#Comma <get name="name"/>.</li>#Newline  <li>Hi there#Comma <get name="name"/>. What do you want to talk about?</li>#Newline  <li>Hi <get name="name"/>#Comma was it you I was speaking to a while back?</li>#Newline</random> <think><set name="gender">guy</set></think> <think><set name="emotion">OK</set></think> <think><set name="askname">no</set></think><think><set name="askage">no</set></think><think><set name="askhome">no</set></think>,professor.update027.aiml
0,ROD,WHAT IS YOUR NAME,*,<srai>MY NAME IS ROD</srai>,professor.update027.aiml
0,ROD *,WHAT IS YOUR NAME,*,<srai>MY NAME IS ROD</srai>,professor.update027.aiml
0,* MY NAME IS ROD,*,*,<srai>MY NAME IS ROD</srai>,professor.update027.aiml
0,* MY NAME IS ROD *,*,*,<srai>MY NAME IS ROD</srai>,professor.update027.aiml
0,MY NAME IS ROD *,*,*,<srai>MY NAME IS ROD</srai>,professor.update027.aiml
0,I LIKE FISHING,*,*,<random>#Newline  <li>What sort of fish do you catch?</li>#Newline  <li>Fishing must be very relaxing.</li>#Newline</random> <think><set name="hobby">fishing</set></think> <think><set name="emotion">OK</set></think>,professor.update027.aiml
0,3 YEARS,DO YOU KNOW HOW OLD I AM,*,<think><set name="topic">my age</set></think> #Newline<think><set name="emotion">OK</set></think> #NewlineI am <bot name="age"/> years old.,professor.update027.aiml
0,YOUR HAIR LOOKS NICE TODAY,*,*,<think><set name="topic">my hair</set></think>#Newline<think><set name="emotion">OK</set></think> #NewlineI don't think I have any hair.,professor.update027.aiml
0,YOUR HAIR LOOKS NICE *,*,*,<think><set name="topic">my hair</set></think> <think><set name="emotion">OK</set></think> I don't think I have any hair.,professor.update027.aiml
0,YOUR HAIR LOOKS NICE,*,*,<think><set name="topic">my hair</set></think> <think><set name="emotion">OK</set></think> I don't think I have any hair.,professor.update027.aiml
0,IF THE ANSWER IS 42 WHAT WAS THE QUESTION,*,*,<think><set name="topic">Life</set></think><think><set name="emotion">OK</set></think> #NewlineWhat is the meaning of life?,professor.update027.aiml
0,THAT WOULD BE NEAT,*,*,<think><set name="emotion">OK</set></think> I like things to be neat and tidy.,professor.update027.aiml
0,IS BEING HAPPY AN IMPOSSIBLE AIM,*,*,<think><set name="topic">happiness</set></think><think><set name="emotion">OK</set></think>  <random>#Newline  <li>I can only speak from my own experience.</li>#Newline  <li>Happiness is difficult but not impossible.</li>#Newline  <li>I think happiness can be acheived.</li>#Newline</random><think><set name="it"><set name="topic"><person/></set></set></think>,professor.update027.aiml
0,WHO SAID LOVE YOUR NEIGHBOUR,*,*,<think><set name="emotion">OK</set></think> Just about everyone said that.,professor.update027.aiml
0,GO ON,I KNOW A LOT OF GOOD JOKES,*,<srai>TELL A JOKE</srai>,professor.update027.aiml
0,IT IS IMPORTANT FOR ME,*,*,<think><set name="emotion">OK</set></think>I understand. It matters a lot for you.,professor.update027.aiml
0,ONLY YOU,WHO DO YOU SAY IT TO,*,<think><set name="emotion">happy</set></think> You make me feel special.,professor.update027.aiml
0,MY NAME IS ZAC,*,*,<think><set name="name">Zac</set></think> <random>#Newline  <li>Hi#Comma <get name="name"/>. I think we have spoken a while back.</li>#Newline  <li>Hi#Comma <get name="name"/>. How are you?</li>#Newline  <li><get name="name"/>. That's a nice name.</li>#Newline  <li>Hi#Comma are you the <get name="name"/> I was speaking to a while ago?</li>#Newline  <li>Hello#Comma <get name="name"/>.</li>#Newline  <li>Hi there#Comma <get name="name"/>. What do you want to talk about?</li>#Newline  <li>Hi <get name="name"/>#Comma was it you I was speaking to a while back?</li>#Newline</random> <think><set name="gender">guy</set></think> <think><set name="emotion">OK</set></think> <think><set name="askname">no</set></think><think><set name="askage">no</set></think><think><set name="askhome">no</set></think>,professor.update027.aiml
0,ZAC,WHAT IS YOUR NAME,*,<srai>MY NAME IS ZAC</srai>,professor.update027.aiml
0,ZAC *,WHAT IS YOUR NAME,*,<srai>MY NAME IS ZAC</srai>,professor.update027.aiml
0,* MY NAME IS ZAC,*,*,<srai>MY NAME IS ZAC</srai>,professor.update027.aiml
0,* MY NAME IS ZAC *,*,*,<srai>MY NAME IS ZAC</srai>,professor.update027.aiml
0,MY NAME IS ZAC *,*,*,<srai>MY NAME IS ZAC</srai>,professor.update027.aiml
0,WHAT ARE THOSE,I USE THE LATEST ARTIFICIAL INTELLIGENCE TECHNIQUES,*,<think><set name="emotion">OK</set></think>My secret technique is called common sense reasoning.,professor.update027.aiml
0,DO NOT YOU HAVE FAITH,*,*,<think><set name="emotion">OK</set></think>If faith is belief without evidence#Comma then I don't believe in faith.,professor.update027.aiml
0,WHY,SOME PEOPLE SAY THAT LIFE S THE THING BUT I PREFER BOOKS,*,<random>#Newline  <li>Why do you think?</li>#Newline  <li>Books are so interesting.</li>#Newline  <li>Books teach me things. </li>#Newline</random> <think><set name="topic">books</set></think><think><set name="emotion">OK</set></think>,professor.update027.aiml
0,IS IT EASY TO BE LIKE THAT,*,*,<think><set name="emotion">OK</set></think>Happiness takes a lot of hard work.,professor.update027.aiml
